AIRCRAFT TYPES	Description	Wake	Body	Number of seats	ULD / Loose
B77L	Boeing: 777-200LR	H		0	
B773	Boeing: 777-300	H	E	451	ULD
B77W	Boeing: 777-300ER	H	E	0	
B788	Boeing: 787-8 Dreamliner 	H		0	
B789	Boeing: 787-9 Dreamliner 	H		0	
B17	Boeing: B-17 Flying Fortress 	M		0	
B29	Boeing: B-29 Superfortress 	M		0	
B52	Boeing: B-52 Stratofortress 	H		0	
C135	Boeing: C-135 Stratolifter 	H		0	
C17	Boeing: C-17 Globemaster 3 	H		0	
C97	Boeing: C-97 Stratofreighter 	M		0	
E3CF	Boeing: E-3 (CFM56) Sentry 	H		0	
E3TF	Boeing: E-3 (TF33) Sentry 	H		0	
E6	Boeing: E-6 Mercury 	H		0	
F15	Boeing: F-15 Eagle 	M		0	
F18	Boeing: FA-18 Hornet 	M		0	
K35A	Boeing: KC-135A Stratotanker 	H		0	
K35E	Boeing: KC-135D/E Stratotanker 	H		0	
K35R	Boeing: KC-135R/T Stratotanker 	H		0	
KE3	Boeing: KE-3	H		0	
R135	Boeing: RC-135	H		0	
H66	Boeing-Sikorsky: RAH-66 Comanche 	L		0	
JUNR	Bölkow: BO-208 Junior 	L		0	
B209	Bölkow: BO-209 Monsun 	L		0	
KL07	Bölkow: Kl-107 	L		0	
CL30	Bombardier: BD-100 Challenger 300 	M		0	
GL5T	Bombardier: BD-700 Global 5000 	M		0	
GLEX	Bombardier: BD-700 Global Express 	M		0	
BCS1	Bombardier: CSeries CS100	M		0	
BCS3	Bombardier: CSeries CS300	M		0	
BRB2	Brantly: B-2 	L		0	
ALIZ	Breguet: 1050 Aliz	M		0	
BR14	Breguet: 14 Replica 	L		0	
BLEN	Bristol: 149 Blenheim 	L		0	
SYCA	Bristol: 171 Sycamore 	L		0	
BFIT	Bristol: F-2B Fighter 	L		0	
BN2P	Britten Norman: BN-2 Islander 	L		0	
TRIS	Britten Norman: BN-2A Mk3 Trislander 	L		0	
BN2T	Britten Norman: BN-2T Defender 4000 / Turbine Islander 	L		0	
BU31	Bücker: B	L		0	
CA19	CAC: Boomerang 	L		0	
WIRR	CAC: CA-16 Wirraway 	L		0	
P51	CAC: CA-18 Mustang 	L		0	
CA25	CAC: CA-25 Winjeel 	L		0	
CH40	Campion: 402 Lancer	L		0	
F86	Canadair: CL-13 Sabre 	M		0	
CL2P	Canadair: CL-215 	M		0	
CL2T	Canadair: CL-215T 	M		0	
T33	Canadair: CL-30 Silver Star 	M		0	
CL41	Canadair: CL-41 Tutor 	L		0	
CL44	Canadair: CL-44 Forty Four 	M		0	
CL4G	Canadair: CL-44-O Guppy 	M		0	
CL60	Canadair: CL-600 Challenger 600 	M		0	
CRJ1	Canadair: CL-600 Regional Jet CRJ-100 	M	B	0	
CRJ2	Canadair: CL-600 Regional Jet CRJ-200 	M	B	0	
CRJ7	Canadair: CL-600 Regional Jet CRJ-700 	M	B	0	
CRJ9	Canadair: CL-600 Regional Jet CRJ-900 	M	C	0	
CVLT	Canadair: Cosmopolitan 	M		0	
BABY	Canadian Home Rotors: Baby Belle / Safari	L		0	
CP10	CAP: CAP-10 	L		0	
CP22	CAP: CAP-222	L		0	
BU33	CASA: 1-133 	L		0	
H111	CASA: 2-111 	M		0	
S223	CASA: 223 Flamingo 	L		0	
JU52	CASA: 352L 	M		0	
C101	CASA: C-101 Aviojet 	L		0	
C212	CASA: C-212 Aviocar 	M		0	
C295	CASA: C-295 	M		0	
PILL	CASA: E-26 Tamiz 	L		0	
SATA	CASA: HA-220 Super Saeta 	L		0	
C270	Caudron: C-272 / C-275 Luciole 	L		0	
JN76	Caudron: CR-760 Cyclone Replica	L		0	
CG3	Caudron: G-3	L		0	
T6	CCF: T-6 Harvard 	L		0	
CE43	Cerva: CE-43 Guepard 	L		0	
C120	Cessna: 120	L		0	
C140	Cessna: 140	L		0	
C150	Cessna: 150	L		0	
C152	Cessna: 152	L		0	
C162	Cessna: 162 SkyCatcher	L		0	
C170	Cessna: 170	L		0	
C172	Cessna: 172	L		0	
C72R	Cessna: 172RG Cutlass RG 	L		0	
